Filename,DES_Size,DES_Complexity,DES_Design Smells,SCC_LOC,SCC_CLOC,SCC_COMPLEXITY,ARCH_Revisions,ARCH_Dependent Partners,ARCH_Depends on Partners,ARCH_Total Dependencies,ARCH_CoChange Partners,ARCH_Bug Commits,ARCH_Churn,DV8_LOC,DV8_TargetChangeCount,DV8_TargetChurn,DV8_ChangeCount,DV8_ChangeChurn,DV8_TotalIssues,DV8_Clique,DV8_Crossing,DV8_IsCenter,DV8_ModularityViolation,DV8_PackageCycle,DV8_UnhealthyInheritance,DV8_UnstableInterface,DV8_isUnstableInterface,DV8_PresentInIssues,SQ_Issues,SQ_CodeSmells,SQ_Bugs,SQ_Vulnerabilities,SQ_SecuritySpots,S101_Fat,S101_ClassTangles,S101_PkgTangles
tez-api.src.main.java.org.apache.tez.dag.api.NamedEntityDescriptor_java,25,6,0,62,39,3,4,9,2,11,4,0,64,39,0,0,3,31,8,1,1,0,4,1,1,0,0,5,4,4,0,0,0,-1,1,1
tez-api.src.main.java.org.apache.tez.dag.api.OutputCommitterDescriptor_java,14,3,1,43,17,0,0,13,2,15,0,0,0,17,0,0,0,0,3,1,0,0,0,1,1,0,0,3,0,0,0,0,0,-1,1,1
tez-api.src.main.java.org.apache.tez.dag.api.OutputDescriptor_java,14,3,1,43,17,0,0,20,2,22,0,0,0,17,0,0,0,0,3,1,0,0,0,1,1,0,0,3,0,0,0,0,0,-1,1,1
tez-api.src.main.java.org.apache.tez.dag.api.PreWarmVertex_java,82,15,1,176,73,8,0,3,6,9,0,0,0,73,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,-1,1,1
tez-api.src.main.java.org.apache.tez.dag.api.ProcessorDescriptor_java,14,3,1,43,17,0,0,26,2,28,0,0,0,17,0,0,0,0,3,1,0,0,0,1,1,0,0,3,0,0,0,0,0,-1,1,1
tez-api.src.main.java.org.apache.tez.dag.api.RootInputLeafOutput_java,22,5,0,54,27,0,0,11,1,12,0,0,0,27,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,1,1
tez-api.src.main.java.org.apache.tez.dag.api.Scope_java,0,0,0,30,10,0,0,7,0,7,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.dag.api.SessionNotReady_java,9,1,2,31,7,0,1,1,1,2,0,0,31,7,0,0,1,31,2,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.dag.api.SessionNotRunning_java,15,3,2,44,15,0,0,5,1,6,0,0,0,15,0,0,0,0,3,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0
tez-api.src.main.java.org.apache.tez.dag.api.TaskLocationHint_java,121,30,0,178,120,39,0,20,0,20,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
